期号,日期,红球,蓝球,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,red_sum,red_span,red_odd_count,red_even_count,blue_sum,blue_span,blue_odd_count,blue_even_count,red_zone1_count,red_zone2_count,red_zone3_count,blue_big_count,blue_small_count
7001,2007-05-30,"22,24,29,31,35","04,11",22,24,29,31,35,4,11,141,13,3,2,15,7,1,1,0,2,3,1,1
7002,2007-06-02,"15,22,31,34,35","05,12",15,22,31,34,35,5,12,137,20,3,2,17,7,1,1,0,2,3,1,1
7003,2007-06-04,"03,04,18,23,32","01,06",3,4,18,23,32,1,6,80,29,2,3,7,5,1,1,2,2,1,0,2
7004,2007-06-06,"06,10,16,17,25","02,04",6,10,16,17,25,2,4,74,19,2,3,6,2,0,2,2,2,1,0,2
7005,2007-06-09,"01,09,19,20,30","02,11",1,9,19,20,30,2,11,79,29,3,2,13,9,1,1,2,2,1,1,1
7006,2007-06-11,"01,16,20,23,28","03,06",1,16,20,23,28,3,6,88,27,2,3,9,3,1,1,1,3,1,0,2
7007,2007-06-13,"14,16,25,26,35","04,09",14,16,25,26,35,4,9,116,21,2,3,13,5,1,1,0,2,3,1,1
7008,2007-06-16,"02,08,11,21,23","04,07",2,8,11,21,23,4,7,65,21,3,2,11,3,1,1,3,2,0,1,1
7009,2007-06-18,"01,03,09,19,34","09,12",1,3,9,19,34,9,12,66,33,4,1,21,3,1,1,3,1,1,2,0
7010,2007-06-20,"06,08,18,29,34","09,11",6,8,18,29,34,9,11,95,28,1,4,20,2,2,0,2,1,2,2,0
7011,2007-06-23,"29,32,33,34,35","09,10",29,32,33,34,35,9,10,163,6,3,2,19,1,1,1,0,0,5,2,0
7012,2007-06-25,"03,12,15,29,34","07,11",3,12,15,29,34,7,11,93,31,3,2,18,4,2,0,2,1,2,2,0
7013,2007-06-27,"12,17,27,29,34","06,09",12,17,27,29,34,6,9,119,22,3,2,15,3,1,1,1,1,3,1,1
7014,2007-06-30,"01,02,07,29,32","06,07",1,2,7,29,32,6,7,71,31,3,2,13,1,1,1,3,0,2,1,1
7015,2007-07-02,"02,08,12,13,17","11,12",2,8,12,13,17,11,12,52,15,2,3,23,1,1,1,3,2,0,2,0
7016,2007-07-04,"01,14,19,24,31","03,12",1,14,19,24,31,3,12,89,30,3,2,15,9,1,1,1,3,1,1,1
7017,2007-07-07,"13,14,29,32,34","03,12",13,14,29,32,34,3,12,122,21,2,3,15,9,1,1,0,2,3,1,1
7018,2007-07-09,"03,04,16,23,28","06,09",3,4,16,23,28,6,9,74,25,2,3,15,3,1,1,2,2,1,1,1
7019,2007-07-11,"03,06,17,22,23","04,06",3,6,17,22,23,4,6,71,20,3,2,10,2,0,2,2,3,0,0,2
7020,2007-07-14,"02,06,11,12,18","05,12",2,6,11,12,18,5,12,49,16,1,4,17,7,1,1,4,1,0,1,1
7021,2007-07-16,"02,04,24,29,33","01,02",2,4,24,29,33,1,2,92,31,2,3,3,1,1,1,2,1,2,0,2
7022,2007-07-18,"08,10,12,23,25","03,10",8,10,12,23,25,3,10,78,17,2,3,13,7,1,1,3,1,1,1,1
7023,2007-07-21,"08,10,23,32,34","08,10",8,10,23,32,34,8,10,107,26,1,4,18,2,0,2,2,1,2,2,0
7024,2007-07-23,"06,16,20,25,31","04,09",6,16,20,25,31,4,9,98,25,2,3,13,5,1,1,1,2,2,1,1
7025,2007-07-25,"22,24,26,27,34","02,10",22,24,26,27,34,2,10,133,12,1,4,12,8,0,2,0,2,3,1,1
7026,2007-07-28,"05,09,13,33,35","01,08",5,9,13,33,35,1,8,95,30,5,0,9,7,1,1,2,1,2,1,1
7027,2007-07-30,"02,03,10,19,27","06,10",2,3,10,19,27,6,10,61,25,3,2,16,4,0,2,3,1,1,1,1
7028,2007-08-01,"20,26,30,34,35","03,10",20,26,30,34,35,3,10,145,15,1,4,13,7,1,1,0,1,4,1,1
7029,2007-08-04,"15,22,25,29,35","09,11",15,22,25,29,35,9,11,126,20,4,1,20,2,2,0,0,2,3,2,0
7030,2007-08-06,"11,14,27,33,35","02,07",11,14,27,33,35,2,7,120,24,4,1,9,5,1,1,1,1,3,1,1
7031,2007-08-08,"03,21,27,31,32","06,08",3,21,27,31,32,6,8,114,29,4,1,14,2,0,2,1,1,3,1,1
7032,2007-08-11,"01,13,21,23,32","04,11",1,13,21,23,32,4,11,90,31,4,1,15,7,1,1,1,3,1,1,1
7033,2007-08-13,"01,05,08,14,22","03,12",1,5,8,14,22,3,12,50,21,2,3,15,9,1,1,3,2,0,1,1
7034,2007-08-15,"06,08,11,13,22","02,11",6,8,11,13,22,2,11,60,16,2,3,13,9,1,1,3,2,0,1,1
7035,2007-08-18,"07,11,16,31,32","01,12",7,11,16,31,32,1,12,97,25,3,2,13,11,1,1,2,1,2,1,1
7036,2007-08-20,"15,18,21,27,34","01,02",15,18,21,27,34,1,2,115,19,3,2,3,1,1,1,0,3,2,0,2
7037,2007-08-22,"01,06,07,17,31","11,12",1,6,7,17,31,11,12,62,30,4,1,23,1,1,1,3,1,1,2,0
7038,2007-08-25,"06,21,25,27,32","08,09",6,21,25,27,32,8,9,111,26,3,2,17,1,1,1,1,1,3,2,0
7039,2007-08-27,"10,11,20,21,35","07,11",10,11,20,21,35,7,11,97,25,3,2,18,4,2,0,2,2,1,2,0
7040,2007-08-29,"05,21,25,28,35","01,04",5,21,25,28,35,1,4,114,30,4,1,5,3,1,1,1,1,3,0,2
7041,2007-09-01,"03,16,17,22,35","01,08",3,16,17,22,35,1,8,93,32,3,2,9,7,1,1,1,3,1,1,1
7042,2007-09-03,"07,10,22,31,35","05,06",7,10,22,31,35,5,6,105,28,3,2,11,1,1,1,2,1,2,0,2
7043,2007-09-05,"04,09,22,24,31","02,06",4,9,22,24,31,2,6,90,27,2,3,8,4,0,2,2,2,1,0,2
7044,2007-09-08,"04,05,07,12,26","01,10",4,5,7,12,26,1,10,54,22,2,3,11,9,1,1,4,0,1,1,1
7045,2007-09-10,"09,16,20,26,35","11,12",9,16,20,26,35,11,12,106,26,2,3,23,1,1,1,1,2,2,2,0
7046,2007-09-12,"04,16,18,23,30","01,10",4,16,18,23,30,1,10,91,26,1,4,11,9,1,1,1,3,1,1,1
7047,2007-09-15,"01,06,15,19,35","02,09",1,6,15,19,35,2,9,76,34,4,1,11,7,1,1,2,2,1,1,1
7048,2007-09-17,"08,25,26,29,35","06,08",8,25,26,29,35,6,8,123,27,3,2,14,2,0,2,1,0,4,1,1
7049,2007-09-19,"09,10,15,17,32","04,06",9,10,15,17,32,4,6,83,23,3,2,10,2,0,2,2,2,1,0,2
7050,2007-09-22,"13,21,22,30,35","01,11",13,21,22,30,35,1,11,121,22,3,2,12,10,2,0,0,3,2,1,1
7051,2007-09-24,"03,07,24,28,35","08,11",3,7,24,28,35,8,11,97,32,3,2,19,3,1,1,2,1,2,2,0
7052,2007-09-26,"01,14,29,32,33","05,10",1,14,29,32,33,5,10,109,32,3,2,15,5,1,1,1,1,3,1,1
7053,2007-09-29,"11,16,19,21,25","01,10",11,16,19,21,25,1,10,92,14,4,1,11,9,1,1,1,3,1,1,1
7054,2007-10-01,"04,10,19,29,34","03,06",4,10,19,29,34,3,6,96,30,2,3,9,3,1,1,2,1,2,0,2
7055,2007-10-03,"10,16,24,31,33","07,10",10,16,24,31,33,7,10,114,23,2,3,17,3,1,1,1,2,2,2,0
7056,2007-10-06,"04,11,17,20,21","05,09",4,11,17,20,21,5,9,73,17,3,2,14,4,2,0,2,3,0,1,1
7057,2007-10-08,"14,16,30,32,35","06,07",14,16,30,32,35,6,7,127,21,1,4,13,1,1,1,0,2,3,1,1
7058,2007-10-10,"08,21,25,28,33","02,06",8,21,25,28,33,2,6,115,25,3,2,8,4,0,2,1,1,3,0,2
7059,2007-10-13,"04,15,23,31,33","03,09",4,15,23,31,33,3,9,106,29,4,1,12,6,2,0,1,2,2,1,1
7060,2007-10-15,"12,13,29,30,31","04,07",12,13,29,30,31,4,7,115,19,3,2,11,3,1,1,1,1,3,1,1
7061,2007-10-17,"02,10,19,28,29","02,09",2,10,19,28,29,2,9,88,27,2,3,11,7,1,1,2,1,2,1,1
7062,2007-10-20,"01,04,10,14,29","11,12",1,4,10,14,29,11,12,58,28,2,3,23,1,1,1,3,1,1,2,0
7063,2007-10-22,"10,31,33,34,35","07,12",10,31,33,34,35,7,12,143,25,3,2,19,5,1,1,1,0,4,2,0
7064,2007-10-24,"02,16,32,33,35","05,10",2,16,32,33,35,5,10,118,33,2,3,15,5,1,1,1,1,3,1,1
7065,2007-10-27,"19,20,24,29,31","09,10",19,20,24,29,31,9,10,123,12,3,2,19,1,1,1,0,3,2,2,0
7066,2007-10-29,"04,07,08,19,24","07,12",4,7,8,19,24,7,12,62,20,2,3,19,5,1,1,3,2,0,2,0
7067,2007-10-31,"11,18,25,30,31","04,09",11,18,25,30,31,4,9,115,20,3,2,13,5,1,1,1,1,3,1,1
7068,2007-11-03,"04,09,13,14,33","06,10",4,9,13,14,33,6,10,73,29,3,2,16,4,0,2,2,2,1,1,1
7069,2007-11-05,"02,13,16,21,35","01,05",2,13,16,21,35,1,5,87,33,3,2,6,4,2,0,1,3,1,0,2
7070,2007-11-07,"07,26,29,30,35","03,04",7,26,29,30,35,3,4,127,28,3,2,7,1,1,1,1,0,4,0,2
7071,2007-11-10,"10,22,32,33,35","01,07",10,22,32,33,35,1,7,132,25,2,3,8,6,2,0,1,1,3,1,1
7072,2007-11-12,"21,24,26,27,33","01,05",21,24,26,27,33,1,5,131,12,3,2,6,4,2,0,0,2,3,0,2
7073,2007-11-14,"04,05,09,12,23","02,11",4,5,9,12,23,2,11,53,19,3,2,13,9,1,1,4,1,0,1,1
7074,2007-11-17,"16,17,23,24,31","05,10",16,17,23,24,31,5,10,111,15,3,2,15,5,1,1,0,4,1,1,1
7075,2007-11-19,"05,11,20,30,32","07,11",5,11,20,30,32,7,11,98,27,2,3,18,4,2,0,2,1,2,2,0
7076,2007-11-21,"02,09,12,15,31","09,10",2,9,12,15,31,9,10,69,29,3,2,19,1,1,1,3,1,1,2,0
7077,2007-11-24,"04,06,12,13,24","01,04",4,6,12,13,24,1,4,59,20,1,4,5,3,1,1,3,2,0,0,2
7078,2007-11-26,"09,12,14,22,23","01,02",9,12,14,22,23,1,2,80,14,2,3,3,1,1,1,2,3,0,0,2
7079,2007-11-28,"06,09,25,26,31","02,08",6,9,25,26,31,2,8,97,25,3,2,10,6,0,2,2,0,3,1,1
7080,2007-12-01,"01,15,20,25,27","05,10",1,15,20,25,27,5,10,88,26,4,1,15,5,1,1,1,2,2,1,1
7081,2007-12-03,"06,18,20,22,35","04,09",6,18,20,22,35,4,9,101,29,1,4,13,5,1,1,1,3,1,1,1
7082,2007-12-05,"03,05,14,33,34","07,08",3,5,14,33,34,7,8,89,31,3,2,15,1,1,1,2,1,2,2,0
7083,2007-12-08,"01,05,20,21,24","03,04",1,5,20,21,24,3,4,71,23,3,2,7,1,1,1,2,3,0,0,2
7084,2007-12-10,"05,11,18,29,34","10,11",5,11,18,29,34,10,11,97,29,3,2,21,1,1,1,2,1,2,2,0
7085,2007-12-12,"17,24,28,29,33","02,05",17,24,28,29,33,2,5,131,16,3,2,7,3,1,1,0,2,3,0,2
7086,2007-12-15,"14,18,19,26,28","03,09",14,18,19,26,28,3,9,105,14,1,4,12,6,2,0,0,3,2,1,1
7087,2007-12-17,"08,18,30,31,33","04,09",8,18,30,31,33,4,9,120,25,2,3,13,5,1,1,1,1,3,1,1
7088,2007-12-19,"17,18,21,23,33","06,10",17,18,21,23,33,6,10,112,16,4,1,16,4,0,2,0,4,1,1,1
7089,2007-12-22,"08,13,24,30,34","01,12",8,13,24,30,34,1,12,109,26,1,4,13,11,1,1,1,2,2,1,1
7090,2007-12-24,"04,20,24,31,33","09,12",4,20,24,31,33,9,12,112,29,2,3,21,3,1,1,1,2,2,2,0
7091,2007-12-26,"07,12,26,31,32","03,08",7,12,26,31,32,3,8,108,25,2,3,11,5,1,1,2,0,3,1,1
7092,2007-12-29,"06,19,27,28,29","06,10",6,19,27,28,29,6,10,109,23,3,2,16,4,0,2,1,1,3,1,1
7093,2007-12-31,"06,08,16,25,27","08,12",6,8,16,25,27,8,12,82,21,2,3,20,4,0,2,2,1,2,2,0
8001,2008-01-02,"01,02,11,34,35","03,10",1,2,11,34,35,3,10,83,34,3,2,13,7,1,1,3,0,2,1,1
8002,2008-01-05,"01,12,24,31,32","10,12",1,12,24,31,32,10,12,100,31,2,3,22,2,0,2,2,1,2,2,0
8003,2008-01-07,"01,11,13,32,35","02,07",1,11,13,32,35,2,7,92,34,4,1,9,5,1,1,2,1,2,1,1
8004,2008-01-09,"09,22,24,31,33","08,09",9,22,24,31,33,8,9,119,24,3,2,17,1,1,1,1,2,2,2,0
8005,2008-01-12,"18,25,29,31,34","09,10",18,25,29,31,34,9,10,137,16,3,2,19,1,1,1,0,1,4,2,0
8006,2008-01-14,"10,12,26,29,34","05,07",10,12,26,29,34,5,7,111,24,1,4,12,2,2,0,2,0,3,1,1
8007,2008-01-16,"03,04,05,12,28","03,12",3,4,5,12,28,3,12,52,25,2,3,15,9,1,1,4,0,1,1,1
8008,2008-01-19,"02,06,08,17,32","08,09",2,6,8,17,32,8,9,65,30,1,4,17,1,1,1,3,1,1,2,0
8009,2008-01-21,"04,08,12,24,30","05,08",4,8,12,24,30,5,8,78,26,0,5,13,3,1,1,3,1,1,1,1
8010,2008-01-23,"06,23,24,27,29","06,08",6,23,24,27,29,6,8,109,23,3,2,14,2,0,2,1,2,2,1,1
8011,2008-01-26,"14,20,22,24,27","07,10",14,20,22,24,27,7,10,107,13,1,4,17,3,1,1,0,4,1,2,0
8012,2008-01-28,"02,10,29,32,35","02,03",2,10,29,32,35,2,3,108,33,2,3,5,1,1,1,2,0,3,0,2
8013,2008-01-30,"01,11,19,22,35","05,09",1,11,19,22,35,5,9,88,34,4,1,14,4,2,0,2,2,1,1,1
8014,2008-02-02,"04,07,10,28,34","01,06",4,7,10,28,34,1,6,83,30,1,4,7,5,1,1,3,0,2,0,2
8015,2008-02-04,"09,18,20,27,33","06,09",9,18,20,27,33,6,9,107,24,3,2,15,3,1,1,1,2,2,1,1
8016,2008-02-13,"08,10,11,17,19","06,09",8,10,11,17,19,6,9,65,11,3,2,15,3,1,1,3,2,0,1,1
8017,2008-02-16,"02,14,25,29,32","01,06",2,14,25,29,32,1,6,102,30,2,3,7,5,1,1,1,1,3,0,2
8018,2008-02-18,"03,06,07,11,30","02,03",3,6,7,11,30,2,3,57,27,3,2,5,1,1,1,4,0,1,0,2
8019,2008-02-20,"08,24,25,29,31","04,05",8,24,25,29,31,4,5,117,23,3,2,9,1,1,1,1,1,3,0,2
8020,2008-02-23,"04,05,15,17,33","04,08",4,5,15,17,33,4,8,74,29,4,1,12,4,0,2,2,2,1,1,1
8021,2008-02-25,"05,10,13,21,24","04,09",5,10,13,21,24,4,9,73,19,3,2,13,5,1,1,2,3,0,1,1
8022,2008-02-27,"09,12,13,25,31","08,10",9,12,13,25,31,8,10,90,22,4,1,18,2,0,2,2,1,2,2,0
8023,2008-03-01,"06,26,31,32,34","07,10",6,26,31,32,34,7,10,129,28,1,4,17,3,1,1,1,0,4,2,0
8024,2008-03-03,"08,12,17,20,30","01,02",8,12,17,20,30,1,2,87,22,1,4,3,1,1,1,2,2,1,0,2
8025,2008-03-05,"06,10,12,15,28","04,12",6,10,12,15,28,4,12,71,22,1,4,16,8,0,2,3,1,1,1,1
8026,2008-03-08,"01,21,22,24,25","08,10",1,21,22,24,25,8,10,93,24,3,2,18,2,0,2,1,3,1,2,0
8027,2008-03-10,"05,17,23,31,32","04,08",5,17,23,31,32,4,8,108,27,4,1,12,4,0,2,1,2,2,1,1
8028,2008-03-12,"03,11,17,19,26","07,12",3,11,17,19,26,7,12,76,23,4,1,19,5,1,1,2,2,1,2,0
8029,2008-03-15,"06,11,18,29,30","04,11",6,11,18,29,30,4,11,94,24,2,3,15,7,1,1,2,1,2,1,1
8030,2008-03-17,"03,21,23,26,35","05,08",3,21,23,26,35,5,8,108,32,4,1,13,3,1,1,1,2,2,1,1
8031,2008-03-19,"14,20,23,27,28","02,04",14,20,23,27,28,2,4,112,14,2,3,6,2,0,2,0,3,2,0,2
8032,2008-03-22,"03,09,19,27,33","09,10",3,9,19,27,33,9,10,91,30,5,0,19,1,1,1,2,1,2,2,0
8033,2008-03-24,"03,10,21,23,30","01,09",3,10,21,23,30,1,9,87,27,3,2,10,8,2,0,2,2,1,1,1
8034,2008-03-26,"06,07,18,34,35","05,10",6,7,18,34,35,5,10,100,29,2,3,15,5,1,1,2,1,2,1,1
8035,2008-03-29,"02,12,13,29,30","05,07",2,12,13,29,30,5,7,86,28,2,3,12,2,2,0,2,1,2,1,1
8036,2008-03-31,"09,19,22,30,32","01,10",9,19,22,30,32,1,10,112,23,2,3,11,9,1,1,1,2,2,1,1
8037,2008-04-02,"11,20,24,31,35","04,10",11,20,24,31,35,4,10,121,24,3,2,14,6,0,2,1,2,2,1,1
8038,2008-04-05,"12,13,19,32,33","02,10",12,13,19,32,33,2,10,109,21,3,2,12,8,0,2,1,2,2,1,1
8039,2008-04-07,"07,11,15,27,35","04,07",7,11,15,27,35,4,7,95,28,5,0,11,3,1,1,2,1,2,1,1
8040,2008-04-09,"04,08,19,22,29","08,11",4,8,19,22,29,8,11,82,25,2,3,19,3,1,1,2,2,1,2,0
8041,2008-04-12,"07,17,21,22,28","05,10",7,17,21,22,28,5,10,95,21,3,2,15,5,1,1,1,3,1,1,1
8042,2008-04-14,"05,10,13,32,35","04,05",5,10,13,32,35,4,5,95,30,3,2,9,1,1,1,2,1,2,0,2
8043,2008-04-16,"05,08,10,31,33","02,04",5,8,10,31,33,2,4,87,28,3,2,6,2,0,2,3,0,2,0,2
8044,2008-04-19,"02,21,23,27,32","10,11",2,21,23,27,32,10,11,105,30,3,2,21,1,1,1,1,2,2,2,0
8045,2008-04-21,"14,32,33,34,35","02,04",14,32,33,34,35,2,4,148,21,2,3,6,2,0,2,0,1,4,0,2
